Rumiko Takahashi
Naoko Takeuchi
Apollonia Saintclair
John Kenn Mortensen
Shintaro Kago
Naoki Urasawa
Katsuhiro Otomo
Studio Ghibli
Sailor Moon
Shotaro Ishinomori
Go Nagai
Shusei Nagaoko
Junji Ito
Chiho Aoshima
Tsutomu Nihei
Yoshiyuki Tomino
Kentaro Miura
Inio Asano
Ken Sugimori
Hirohiko Araki
Gyoshū Hayami
Gatōken Shunshi
Hayao Miyazaki
Takeshi Obata
Makoto Shinkai
Fujishima Takeji
Baiōken Eishun
Miho Hirano
Bakemono Zukushi
Awataguchi Takamitsu
Akira Toriyama
Toei Animations
Hasegawa Tōhaku
Leiji Matsumoto
Masaaki Sasamoto
Satoshi Kon
Masamune Shirow
Hariton Pushwagner
Posuka Demizu
Eiichiro Oda
Phil Noto
Hiromu Arakawa
Kobayashi Kiyochika
Gai Qi
Shinji Aramaki
Michael Cheval
Adam Hughes
Armin Hansen
Ike no Taiga
Yoji Shinkawa
